"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-01","2008","01","01","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","53","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-02","2008","01","02","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","53","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-03","2008","01","03","†","","","","","","","","","","","0.0","","1.2","","1.2","","53","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-04","2008","01","04","†","","","","","","","","","","","0.0","T","0.0","T","0.0","T","53","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-05","2008","01","05","†","","","","","","","","","","","0.0","T","0.0","T","0.0","T","53","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-06","2008","01","06","†","","","","","","","","","","","0.5","","0.0","","0.5","","49","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-07","2008","01","07","†","","","","","","","","","","","4.7","","0.0","","4.7","","40","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-08","2008","01","08","†","","","","","","","","","","","11.0","","0.0","","11.0","","36","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-09","2008","01","09","†","","","","","","","","","","","19.2","","6.4","","25.6","","30","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-10","2008","01","10","†","","","","","","","","","","","0.0","","0.5","","0.5","","25","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-11","2008","01","11","†","","","","","","","","","","","0.0","","12.6","","12.6","","22","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-12","2008","01","12","†","","","","","","","","","","","0.0","","0.8","","0.8","","32","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-13","2008","01","13","†","","","","","","","","","","","0.0","","2.2","","2.2","","32","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-14","2008","01","14","†","","","","","","","","","","","0.0","","4.6","","4.6","","32","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-15","2008","01","15","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","34","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-16","2008","01","16","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","40","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-17","2008","01","17","†","","","","","","","","","","","0.0","","2.0","","2.0","","40","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-18","2008","01","18","†","","","","","","","","","","","0.0","","1.2","","1.2","","41","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-19","2008","01","19","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","41","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-20","2008","01","20","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","41","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-21","2008","01","21","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","41","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-22","2008","01","22","†","","","","","","","","","","","0.0","","1.6","","1.6","","41","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-23","2008","01","23","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","41","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-24","2008","01","24","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","41","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-25","2008","01","25","†","","","","","","","","","","","0.0","","0.6","","0.6","","41","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-26","2008","01","26","†","","","","","","","","","","","0.0","","0.2","","0.2","","40","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-27","2008","01","27","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","40","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-28","2008","01","28","†","","","","","","","","","","","0.0","","0.2","","0.2","","39","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-29","2008","01","29","†","","","","","","","","","","","2.0","","2.6","","4.6","","38","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-30","2008","01","30","†","","","","","","","","","","","3.6","","1.4","","5.0","","43","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-01-31","2008","01","31","†","","","","","","","","","","","0.0","","0.0","","0.0","","43","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-01","2008","02","01","†","","","","","","","","","","","0.0","","4.0","","4.0","","43","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-02","2008","02","02","†","","","","","","","","","","","0.0","","2.2","","2.2","","43","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-03","2008","02","03","†","","","","","","","","","","","0.0","","0.6","","0.4","","44","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-04","2008","02","04","†","","","","","","","","","","","0.0","","1.6","","1.6","","44","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-05","2008","02","05","†","","","","","","","","","","","0.0","","4.8","","4.8","","45","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-06","2008","02","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-07","2008","02","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-08","2008","02","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-09","2008","02","09","†","","","","","","","","","","","0.0","","2.6","","2.6","","46","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-10","2008","02","10","†","","","","","","","","","","","0.0","","7.4","","7.4","","48","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-11","2008","02","11","†","","","","","","","","","","","0.0","","0.2","","0.2","","50","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-12","2008","02","12","†","","","","","","","","","","","0.0","","3.0","","3.0","","50","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-13","2008","02","13","†","","","","","","","","","","","0.0","","1.6","","1.6","","59","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-14","2008","02","14","†","","","","","","","","","","","0.0","","2.8","","2.8","","60","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-15","2008","02","15","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","62","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-16","2008","02","16","†","","","","","","","","","","","0.0","","2.0","","1.2","","60","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-17","2008","02","17","†","","","","","","","","","","","1.8","","6.5","","8.3","","54","","","","",""
"-77.79","48.06","VAL-D'OR A","7098600","2008-02-18","2008","02","18","†","","","","","","","","","","","1.6","","1.0","","2.6","","53","","","","",""
